step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
741,1.34791,0.64659,,
742,1.62337,0.59677,,
743,1.81345,0.54137,,
744,1.5401,0.61974,,
745,1.63733,0.57438,,
746,1.42772,0.6422,,
747,1.57334,0.58256,,
748,1.50959,0.62784,,
749,1.66952,0.58169,,
750,1.44348,0.59792,,
751,1.28598,0.64697,,
752,1.70706,0.58736,,
753,1.46693,0.60397,,
754,1.83296,0.55054,,
755,1.7418,0.54472,,
756,1.53137,0.61617,,
757,2.18484,0.50447,,
758,1.59568,0.58172,,
759,1.81506,0.55159,,
760,1.52465,0.62423,,
761,1.82671,0.54019,,
762,1.44615,0.62307,,
763,1.52228,0.60866,,
764,1.55334,0.58108,,
765,1.38641,0.62493,,
766,1.65103,0.58435,,
767,1.48061,0.61293,,
768,1.79555,0.55077,,
769,1.8118,0.54893,,
770,1.79634,0.57163,,
771,1.50215,0.61464,,
772,1.40817,0.64983,,
773,7.60795,0.37716,,
774,1.77444,0.58877,,
775,1.6877,0.56858,,
776,1.61923,0.56963,,
777,1.55279,0.61428,,
778,1.66734,0.57817,,
779,1.54323,0.60944,,
780,1.31609,0.66793,,
781,1.30015,0.64268,,
782,2.18939,0.48985,,
783,2.2051,0.48616,,
784,2.05258,0.52234,,
785,1.92369,0.53274,,
786,1.68053,0.58921,,
787,1.50971,0.60619,,
788,1.30033,0.64683,,
789,1.30575,0.65851,,
790,1.54393,0.60895,,
791,1.60265,0.61251,,
792,1.9336,0.54339,,
793,1.56452,0.60831,,
794,1.46231,0.62388,,
795,7.01416,0.40857,,
796,1.77967,0.55624,,
797,1.93522,0.49663,,
798,1.55312,0.59548,,
799,1.6121,0.58094,,
800,1.52743,0.63328,,
801,1.39187,0.61957,,
802,1.15369,0.68456,,
803,1.84203,0.53161,,
804,1.61027,0.56891,,
805,1.47318,0.59052,,
806,1.10908,0.68954,,
807,1.91109,0.52128,,
808,1.45691,0.62356,,
809,1.50829,0.64006,,
810,1.49176,0.60628,,
811,1.51734,0.60578,,
812,1.46741,0.61278,,
813,1.67357,0.58372,,
814,1.71197,0.58043,,
815,1.16713,0.68641,,
816,1.84523,0.54661,,
817,1.6036,0.5964,,
818,1.88048,0.56478,,
819,1.47477,0.61546,,
820,1.72677,0.57496,,
821,1.98301,0.53036,,
822,1.52051,0.59209,,
823,1.1936,0.68307,,
824,1.41027,0.6262,,
825,1.84821,0.5664,,
826,1.88914,0.5197,,
827,1.83475,0.55489,,
828,1.5339,0.58389,,
829,1.76983,0.57607,,
830,1.82419,0.56392,,
831,1.62489,0.57696,,
832,1.55229,0.59256,,
833,1.14047,0.69308,,
834,1.61133,0.60845,,
835,1.83547,0.54968,,
836,1.58606,0.61474,,
837,1.75471,0.55953,,
838,1.25117,0.66312,,
839,1.75335,0.57854,,
840,1.87321,0.5154,,
841,1.37681,0.64885,,
842,1.49826,0.61525,,
843,1.26984,0.67383,,
844,1.95036,0.55355,,
845,1.27789,0.68185,,
846,1.52998,0.60052,,
847,1.33625,0.64315,,
848,1.44272,0.62382,,
849,1.46666,0.62157,,
850,1.58866,0.59804,,
851,1.69723,0.57344,,
852,1.69764,0.5684,,
853,1.11663,0.69948,,
854,1.5853,0.58543,,
855,1.61576,0.56895,,
856,1.29337,0.64349,,
857,1.542,0.61001,,
858,1.70656,0.5999,,
859,1.30114,0.66504,,
860,1.29168,0.6486,,
861,1.30843,0.65659,,
862,1.36682,0.64201,,
863,1.15477,0.69879,,
864,1.56722,0.57895,,
865,1.63558,0.58941,,
866,1.42394,0.64757,,
867,1.48926,0.60989,,
868,1.6688,0.58566,,
869,2.16633,0.4968,,
870,1.64317,0.59247,,
871,1.6337,0.61898,,
872,1.5397,0.59785,,
873,1.66807,0.57093,,
874,1.39774,0.61967,,
875,1.44589,0.62806,,
876,1.27868,0.6403,,
877,1.23894,0.66146,,
878,1.58741,0.61122,,
879,1.22643,0.66304,,
880,1.11873,0.69359,,
881,2.45627,0.48098,,
882,1.64019,0.56556,,
883,1.2579,0.67622,,
884,1.30975,0.65,,
885,1.22904,0.66579,,
886,1.37294,0.64523,,
887,0.98464,0.7261,,
888,1.53708,0.60825,,
889,1.01345,0.72053,,
890,1.1718,0.68492,,
891,0.91003,0.74376,,
892,1.52392,0.61285,,
893,1.33764,0.65469,,
894,1.18839,0.66485,,
895,1.37248,0.6396,,
896,1.07413,0.72461,,
897,1.25293,0.67642,,
898,1.73035,0.5801,,
899,1.01308,0.72797,,
900,1.08508,0.70673,,
901,1.44666,0.6332,,
902,1.80408,0.58219,,
903,1.38408,0.64245,,
904,1.29118,0.64702,,
905,1.13701,0.68788,,
906,1.27256,0.64493,,
907,1.82807,0.57297,,
908,1.85949,0.5415,,
909,1.48756,0.60621,,
910,1.65399,0.58029,,
911,2.00284,0.52608,,
912,1.33629,0.65029,,
913,0.82586,0.77937,,
914,1.26653,0.65141,,
915,1.5683,0.60761,,
916,1.34219,0.63609,,
917,1.35284,0.64073,,
918,1.32746,0.66093,,
919,1.20188,0.67895,,
920,1.56413,0.60958,,
921,2.13283,0.52125,,
922,1.53861,0.61782,,
923,1.77394,0.56508,,
924,1.55613,0.59453,,
925,1.51715,0.60134,,
926,1.13177,0.69428,,
927,1.37529,0.63566,,
928,1.46918,0.61223,,
929,1.25323,0.66323,,
930,1.04353,0.71867,,
931,1.58918,0.60093,,
932,1.41207,0.64159,,
933,1.2929,0.6478,,
934,1.7322,0.59139,,
935,1.58585,0.64487,,
936,1.1943,0.68277,,
937,1.50945,0.62633,,
938,1.57053,0.60361,,
939,1.65142,0.57661,,
940,1.33196,0.64509,,
941,1.9025,0.53287,,
942,1.41252,0.62649,,
943,1.24479,0.69061,,
944,2.01306,0.49465,,
945,1.30407,0.65862,,
946,1.21188,0.67568,,
947,1.79331,0.56288,,
948,1.3949,0.63871,,
949,1.85028,0.5267,,
950,1.70273,0.57699,,
951,1.23263,0.67494,,
952,1.87933,0.54259,,
953,1.17225,0.70723,,
954,1.35577,0.65765,,
955,1.34293,0.65964,,
956,1.38059,0.65116,,
957,1.49487,0.65619,,
958,1.51835,0.5913,,
959,1.73945,0.58372,,
960,1.46723,0.63295,,
961,1.06254,0.70841,,
962,1.34839,0.67802,,
963,1.74611,0.56369,,
964,1.4347,0.61504,,
965,1.31151,0.63128,,
966,1.47976,0.6377,,
967,1.24708,0.68107,,
968,1.36751,0.66201,,
969,1.33457,0.62811,,
970,1.48925,0.60956,,
971,1.41478,0.62589,,
972,1.81357,0.56027,,
973,1.06345,0.72252,,
974,1.57495,0.61577,,
975,1.28714,0.6512,,
976,1.40789,0.64753,,
977,1.12236,0.69695,,
978,1.32865,0.65038,,
979,1.64,0.58065,,
980,1.27641,0.66156,,
981,1.22765,0.6488,,
982,1.9737,0.52699,,
983,0.98233,0.72607,,
984,0.7718,0.78966,,
985,1.49958,0.63138,,
986,0.98179,0.7336,,
987,1.20522,0.68369,,
988,1.11257,0.69322,,
989,1.04194,0.70116,,
